event_id,event_name,event_date,event_week,window_weeks,outcome,treated_cohort,control_cohort,n_obs_pre_treated,n_obs_post_treated,n_obs_pre_control,n_obs_post_control,share_of_wallet_diff_treated,share_of_wallet_diff_control,share_of_wallet_did,share_of_wallet_pre_treated,share_of_wallet_post_treated,share_of_wallet_pre_control,share_of_wallet_post_control,participation_rate_diff_treated,participation_rate_diff_control,participation_rate_did,participation_rate_pre_treated,participation_rate_post_treated,participation_rate_pre_control,participation_rate_post_control,sales_per_active_user_diff_treated,sales_per_active_user_diff_control,sales_per_active_user_did,sales_per_active_user_pre_treated,sales_per_active_user_post_treated,sales_per_active_user_pre_control,sales_per_active_user_post_control,count_per_active_user_diff_treated,count_per_active_user_diff_control,count_per_active_user_did,count_per_active_user_pre_treated,count_per_active_user_post_treated,count_per_active_user_pre_control,count_per_active_user_post_control
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,gambling_total,high_top10,low_positive,12,12,12,12,-0.0002827252922503586,0.00033203441496142344,-0.0006147597072117821,0.006519731169324067,0.006237005877073708,0.0035971426254965424,0.003929177040457966,0.009003951286554554,0.012224795715457787,-0.003220844428903233,0.114189022722067,0.12319297400862156,0.08976617808237501,0.1019909737978328,2.918569462188646,3.889925431363327,-0.9713559691746809,11.48785067627198,14.406420138460627,22.195434024706568,26.085359456069895,0.04710667050793571,0.057367545113967355,-0.010260874606031645,0.36352605795782766,0.4106327284657634,0.35789123156769137,0.4152587766816587
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,grocery_ex_fuel,high_top10,low_positive,12,12,12,12,-0.008180157261935314,0.001520305345185026,-0.00970046260712034,0.0777366897587217,0.06955653249678638,0.04728458773547339,0.04880489308065842,0.0031839659426314837,0.0037765790724269,-0.0005926131297954162,0.802369524686577,0.8055534906292084,0.8353563995702505,0.8391329786426774,32.761929611237036,39.18854453239442,-6.42661492115738,143.84740719024867,176.6093368014857,293.7011924918398,332.8897370242342,0.12169357686012061,0.20463849392486022,-0.08294491706473961,3.0209879462233915,3.142681523083512,4.112017334828602,4.316655828753462
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,healthcare_total,high_top10,low_positive,12,12,12,12,0.0406445391240151,-0.002000760207558648,0.042645299331573745,0.014149683318409592,0.05479422244242469,0.021684043169336756,0.01968328296177811,-0.0013822052372261528,0.0024888647473284564,-0.0038710699845546093,0.25306772182497517,0.251685516587749,0.3884942671015863,0.39098313184891476,375.66600783324395,-0.1405382145650549,375.806546047809,25.807108041327712,401.47311587457165,132.60509109399473,132.46455287942968,-0.002852776590571038,0.0147231864971189,-0.01757596308768994,0.3623535348202929,0.3595007582297219,0.7140411371015297,0.7287643235986486
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,home_improvement,high_top10,low_positive,12,12,12,12,-0.0038967066244075897,0.005397659210586617,-0.009294365834994206,0.017596852078214622,0.013700145453807032,0.018460027527745466,0.023857686738332082,0.009090173104496807,0.024221238475977763,-0.015131065371480956,0.17813345632608202,0.18722362943057883,0.21395494290812422,0.238176181384102,2.1158852475270216,42.10297913464059,-39.98709388711357,30.960517106153706,33.07640235368073,117.7710817001702,159.8740608348108,0.019006137852005223,0.06271907639996832,-0.0437129385479631,0.2822844845707833,0.30129062242278853,0.3987539530745256,0.4614730294744939
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,insurance_total,high_top10,low_positive,12,12,12,12,-0.004608505329244466,-0.0007842631452481541,-0.0038242421839963115,0.01893460741853325,0.014326102089288783,0.018035737188788006,0.01725147404353985,0.0035137585379758918,-0.0005491929574441556,0.004062951495420047,0.20067242871863444,0.20418618725661034,0.3411744348356636,0.34062524187821946,1.6902104512271237,3.867126759565352,-2.176916308338228,33.2897572356884,34.97996768691552,111.72881752260956,115.59594428217491,0.007337275896591167,0.005130105167448162,0.0022071707291430043,0.25709364270959284,0.264430918606184,0.5422719631271842,0.5474020682946323
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,mortgage,high_top10,low_positive,12,12,12,12,-0.003186796550165282,-7.719518565675945e-05,-0.0031096013645085224,0.010329995922431666,0.007143199372266384,0.020323699350290075,0.020246504164633316,0.0017674251038525476,0.0011927766708378293,0.0005746484330147184,0.01704648050906062,0.018813905612913167,0.06225128741064153,0.06344406408147936,-1.4994721421055708,10.24634848491607,-11.74582062702164,18.890190400527985,17.390718258422414,125.53147486661743,135.7778233515335,0.0023640608362812607,0.002181557847220364,0.00018250298906089674,0.020213466220176283,0.022577527056457544,0.08883211183281586,0.09101366968003623
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,restaurants_total,high_top10,low_positive,12,12,12,12,-0.006959114478388401,-0.00033538009772096644,-0.006623734380667434,0.11965831508975593,0.11269920061136753,0.08813547580204402,0.08780009570432305,-0.00573960503610782,0.0003133972507375349,-0.006053002286845355,0.8597239825193063,0.8539843774831984,0.869956629556448,0.8702700268071856,66.11727375317918,40.88259523886211,25.234678514317068,249.03022746340866,315.14750121658784,554.7793416788204,595.6619369176825,-0.018092533205682493,0.16451288093481065,-0.18260541414049314,4.59498838983062,4.576895856624938,5.7196157082209815,5.884128589155792
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-26,12,travel_total,high_top10,low_positive,12,12,12,12,0.07193067920642486,-0.01298510533510238,0.08491578454152723,0.0760935496557681,0.14802422886219296,0.0685927349597046,0.055607629624602216,0.009321690910639446,0.011947439664731108,-0.0026257487540916613,0.45196014446896027,0.4612818353795997,0.5380996388450672,0.5500470785097983,276.0179370496465,-59.07214188198833,335.0900789316348,175.9184307925808,451.9363678422273,444.3423435420182,385.2702016600299,0.019016111504623012,0.059809934219614114,-0.0407938227149911,1.1647739325649102,1.1837900440695333,1.7443670013694164,1.8041769355890305
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,bnpl_total,high_top20,low_positive,2,2,2,2,-0.0008753750830891478,7.635925425335081e-05,-0.0009517343373424986,0.0231197404285684,0.02224436534547925,0.00794019323021215,0.0080165524844655,0.01175162379304015,0.005087292737692983,0.006664331055347167,0.2252450972206915,0.23699672101373165,0.2166733219767305,0.2217606147144235,1.7467222000046618,-0.9130542954447378,2.6597764954493996,26.9598081022623,28.706530302266962,36.86628534920348,35.95323105375874,0.024880883372078944,0.008041106158264255,0.01683977721381469,0.5832904754112412,0.6081713587833202,0.7238761150676973,0.7319172212259616
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,debit_investment_like,high_top20,low_positive,2,2,2,2,-0.001074362125979042,-0.004238620917087849,0.0031642587911088066,0.046549282233091446,0.045474920107112404,0.032993018683563996,0.028754397766476147,0.010626751845963511,0.0059951967875144785,0.004631555058449033,0.5037664877765866,0.5143932396225501,0.5674791714438625,0.573474368231377,4.448573770510301,-24.160352507926234,28.608926278436535,54.29268293096982,58.74125670148012,152.65093352324536,128.49058101531912,0.012711038853567613,0.008727819906226397,0.003983218947341216,1.1979991472943294,1.210710186147897,1.422550782004723,1.4312786019109494
