month_start,user_months,active_users,gross_contribution,auto_investment,auto_roundup,roundup,lump_sum,found_money,reward,user_transfer,dividend,fee,withdrawal,net_flow_after_withdrawal_fee,total_end_balance,signins,crypto_portfolio_users,crypto_portfolio_share,portfolio_switches,portfolio_switch_rate
2019-11-01,388355,388355,36869232.07999873,15148338.53,6389836.800000016,194689.88000000003,15033864.629998779,69325.24000000006,18615.0,14562.0,17704.572864453523,510473.420311122,23816462.96000335,12560000.27254876,375514210.8923676,243829.0,0.0,0.0,6344.0,0.016335569260084202
2019-12-01,395585,395585,36780740.57999272,15589357.950000001,6927012.74000001,203338.09999999995,13944758.549992673,84605.24000000014,23310.0,8358.0,16834.073174349818,516625.3477659811,27335219.480000008,8945729.82540104,380278614.6581918,234509.0,0.0,0.0,5574.0,0.014090524160420642
2020-01-01,406785,406785,42745028.14,16667960.720000003,6387530.739999982,251929.58999999988,19335196.679999996,68832.3100000001,29801.1,3777.0,3277963.8334847274,525097.0399719153,29704957.019999567,15792937.913513247,410167299.70821595,265854.0,0.0,0.0,7948.0,0.019538576889511657
2020-02-01,415545,415545,40314235.76999999,15537974.959999997,6143756.370000001,200808.70000000004,18336555.25,64946.69000000028,27425.8,2768.0,18576.80318954813,530636.4045054769,36579348.56001952,3222827.6086645494,393548495.4894423,243911.0,0.0,0.0,8145.0,0.019600765260080137
2020-03-01,423818,423818,33183568.719999976,14311104.21,6309641.860000002,159056.8,12290422.759999998,49453.5900000001,47587.5,16302.0,17608.15700313729,542310.7347134316,80013984.32000002,-47355118.17771038,305105765.5056571,257158.0,0.0,0.0,11505.0,0.027146086291757313
2020-04-01,429427,429427,29291439.960000012,11861140.239999998,4182840.3000000077,156519.14000000004,13041455.550000004,19584.229999999992,18742.5,11158.0,1395091.439916523,521458.92000305845,12448350.960000005,17716721.519913495,338071940.3889954,238447.0,0.0,0.0,6430.0,0.014973441353245139
2020-05-01,435952,435952,31808933.4399536,12798828.34,4658175.159999998,199963.71999999988,14077301.06995361,32276.150000000005,16800.0,25589.0,9887.814534493788,527540.6672375092,12825438.348120704,18465842.239129916,364242795.1496394,231080.0,3619.0,0.00830137262817925,10061.0,0.023078228795830734
2020-06-01,442616,442616,36176257.32000884,14372871.959999999,5625498.440000007,194118.18000000002,15903825.84000884,52292.10000000008,25489.8,2161.0,9451.775832049494,541172.6473546404,21536954.309997555,14107582.138488686,383766024.6634263,267557.0,6689.0,0.015112422506190468,7930.0,0.017916207276736495
2020-07-01,449398,449398,37309628.27002149,15271686.93,6075928.180000015,218186.26999999996,15664417.970021516,49035.420000000064,24072.5,6301.0,5154523.652383308,544198.2059611923,22383236.200000003,19536717.51644364,403916398.5761714,333058.0,9303.0,0.020701026706838925,8664.0,0.019279124517688106
2020-08-01,453562,453562,35286355.92002768,14993294.11,5541764.579999998,175875.18999999997,14505295.070027744,53796.55000000004,15507.42,823.0,10530.049373987087,555562.0619377224,22370716.580000002,12370607.327464014,426389727.6440475,105317.0,11306.0,0.02492713234353848,5117.0,0.011281809322650486
2020-09-01,459591,459591,33929921.87003507,15531020.209999995,5977928.540000003,164129.13000000003,12137940.220035056,78341.77,36560.0,4002.0,10497.116830407169,562379.8758539562,22756344.68000854,10621694.431002984,428342046.9917682,259459.0,12889.0,0.028044500436257454,5939.0,0.012922359228096286
2020-10-01,465825,465825,37488947.650036484,16157597.549999999,6136236.880000002,161551.7,14945715.21003645,59225.81000000002,20102.5,8518.0,1657844.9816851995,561332.8617261183,23545764.76,15039695.009995524,450951125.01426613,304332.0,14881.0,0.031945473085386145,6257.0,0.013432082863736382
2020-11-01,476997,476997,44777527.800034344,16051632.269999994,6311621.030000008,164521.65000000002,22130146.480034463,88630.37000000008,20450.0,10526.0,10866.280366931918,568654.579972142,26592046.010003667,17627693.49042559,502555247.5104164,309476.0,20104.0,0.04214701559967882,8814.0,0.018478103635871924
2020-12-01,480945,480945,44969814.600041606,18025220.849999998,7292568.970000008,163188.72999999998,19370030.96004171,81169.99000000003,27081.100000000002,10554.0,9334.458068252905,579686.6520617283,27105311.579999994,17294150.826048266,522580684.67787534,331393.0,23341.0,0.04853153687012028,6811.0,0.014161702481572737
2021-01-01,500424,500424,50606237.42005402,17733507.47,6688226.479999992,212440.37000000008,25811532.140054155,110200.45000000029,37427.51,12903.0,2900593.2829148173,594521.9436809992,29570673.809999987,23341634.949287955,552264462.7951326,372367.0,32944.0,0.06583217431617988,17548.0,0.03506626380829057
